OPTIONS_LANGUAGE_ENGLISH,한국어,,,,English
ACTION_ENTER,탑승,,,,Enter
ACTION_PICKUP,줍기,,,,Pick Up
ACTION_SWITCH,스위치,,,,Switch
ACTION_USE,사용,,,,Use
BANK_GUI_HEADER,오래된 글렌 은행,,,,Old Glenn Bank
BANK_GUI_LOAN_BUTTON,대출,,,,Loans
BANK_GUI_LOAN_CURRENT_LOAN,만기금액,,,,Total Due
BANK_GUI_LOAN_DAILY_CHANGE,일불,,,,Daily Payment
BANK_GUI_LOAN_INTEREST_RATE,총 이자,,,,Total Interest
BANK_GUI_LOAN_LOAN_BALANCE,잔액,,,,Balance Due
BANK_GUI_LOAN_TAKE_LOAN,대출 받기,,,,Take out a loan
BANK_GUI_LOAN_WHEEL_INSTALLMENTS,할부,,,,Installments
BANK_GUI_LOAN_WHEEL_LOAN_AMOUNT,대출 금액,,,,Loan Amount
BANK_GUI_LOCATION,"알래스카 주, 헤인즈",,,,"Haines, Alaska"
BANK_GUI_MINED_GOLD_OER,돈,,,,Money
BANK_GUI_PARCELS_BUTTON,토지,,,,Parcels
BANK_GUI_PARCELS_BUY,구매,,,,Buy
BANK_GUI_PARCELS_CHOOSE_A_PARCEL,토지 선택,,,,Choose a parcel
BANK_GUI_PARCELS_DATA,1평당 가격:@추가 임대 제공:@영역 넓이:@예상되는 금의 양:@토지의 오염도:@물이 흘러나오는 곳:@소유자:,,,,Price per sq ft:@Additional provision of rent:@Area:@Expected amount of gold:@Dirtiness of the parcel:@Water source:@Owner:
BANK_GUI_PARCELS_OWNED,소유중,,,,Owned
BANK_GUI_PARCELS_PRICE,매입 가격,,,,Buyout
BANK_GUI_PARCELS_RENT,임대,,,,Lease
BANK_GUI_PARCELS_RENTED,임대함,,,,Leased
BANK_GUI_STOCK_BUTTON,주식,,,,Stock
BANK_GUI_STOCK_DAY,1일,,,,1 Day
BANK_GUI_STOCK_GOLD_US,골드 USD,,,,Gold USD
BANK_GUI_STOCK_MONTH,1개월,,,,1 Month
BANK_GUI_STOCK_MONTHS_3,3개월,,,,3 Months
BANK_GUI_STOCK_MONTHS_6,6개월,,,,6 Months
BANK_GUI_STOCK_WEEK,1주,,,,1 Week
BANK_GUI_STOCK_YEAR,1년,,,,1 Year
BLACKSMITH_CRAFT_BUTTON,제련,,,,Smelt
BLACKSMITH_GOLD_CRAFT_AMOUNT_OF_GOLD,온스(oz) 제련,,,,Gold Amount Smelted
BLACKSMITH_GOLD_CRAFT_COST,비용,,,,Cost
BLACKSMITH_GOLD_CRAFT_GOLD_LOSS,손실량,,,,Gold Losses
BLACKSMITH_GOLD_CRAFT_TIME,시간,,,,Time
BLACKSMITH_GOLD_ORE_SALE_BUTTON_SUBMIT,판매,,,,Sell
BLACKSMITH_GOLD_ORE_SALE_MARKET_PRICE,금괴 가격,,,,Bars Price
BLACKSMITH_GOLD_ORE_SALE_PER_OZ,온스(oz) 당,,,,per oz
